,GEOID,population,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,eviction-rate,score,raw_score,percentage_vacant_housing_units,percent_college_educated,snaps_percentage,percent_poverty,rent_to_income_ratio,unemployment_rate
8870,391650307002,1296.0,7.03,,60875.0,140000.0,,0.0,B,0.784,0.0,8.43840931134821,2.47148288973384,,,11.1
8871,391650307003,768.0,20.06,,53750.0,151800.0,,3.92,C,0.642,0.0,11.0062893081761,0.0,,,11.1
8872,391650307004,2247.0,61.23,715.0,44958.0,170200.0,20.9,4.46,C,0.451,3.12185297079557,22.8882833787466,19.8544698544699,,17.8299746430001,11.1
8873,391650308001,3099.0,5.98,850.0,86683.0,243200.0,13.2,1.28,B,0.886,6.61080074487896,38.1818181818182,1.29611166500499,,8.65221554399363,2.4
8874,391650308002,2547.0,4.98,865.0,103938.0,248200.0,12.7,1.25,A,0.914,11.505376344086,50.6180469715698,5.4678007290401,,,2.4
8875,391650308003,844.0,0.0,,83380.0,226300.0,,0.0,A,0.916,0.0,21.1815561959654,3.58306188925081,,,2.4
8876,391650309001,2459.0,4.95,,99875.0,314300.0,,0.0,A,0.989,0.0,57.1230982019364,6.7258883248731,,,1.5
8877,391650309002,1053.0,0.0,,147019.0,317600.0,,0.0,A,0.963,0.0,47.6968796433878,0.0,,,1.5
8878,391650309003,3098.0,7.99,1719.0,106574.0,235200.0,17.5,0.0,A,0.986,4.02245088868101,65.6613756613757,0.0,,15.3020436504213,1.5
8879,391650309004,4267.0,1.7,,118917.0,237300.0,,0.0,A,0.987,0.0,59.4440213252094,0.0,,,1.5
8880,391650309005,2780.0,1.22,,113333.0,295000.0,,0.0,A,0.986,7.34463276836158,58.3926754832147,0.0,,,1.5
8881,391650310001,1635.0,9.17,933.0,77262.0,186000.0,18.1,0.0,A,0.933,0.0,36.7034834324554,5.19877675840979,,8.26279412906733,3.4
8882,391650310002,3245.0,24.51,947.0,75427.0,204400.0,19.9,0.0,A,0.928,1.32743362831858,34.1242450388266,1.71898355754858,,10.3729433757143,3.4
8883,391650310003,1873.0,34.31,783.0,52500.0,152100.0,29.6,0.35,C,0.647,7.14285714285714,26.4566929133858,7.703081232493,,13.6457142857143,3.4
8884,391650310004,1183.0,14.87,,60417.0,243700.0,,0.0,B,0.872,0.0,21.8666666666667,4.11899313501144,,,3.4
8885,391650310005,607.0,13.64,,,171500.0,,0.0,B,0.898,0.0,9.31174089068826,0.0,,,3.4
8886,391650311001,1759.0,11.21,879.0,77821.0,162800.0,23.3,0.9,B,0.874,1.61764705882353,18.7230371009491,1.64424514200299,,9.60666144099922,5.4
8887,391650311002,2222.0,17.93,1052.0,64545.0,191700.0,23.2,1.82,B,0.874,4.83042137718397,28.9933694996986,1.18790496760259,,12.1403671856844,5.4
8888,391650312001,1045.0,19.94,,114327.0,242700.0,,0.0,A,0.942,6.95067264573991,42.0470262793914,1.38504155124654,,,1.9
8889,391650312002,1460.0,3.28,,74458.0,253200.0,,2.08,A,0.941,8.94736842105263,32.1493624772313,0.0,,,1.9
8890,391650312003,2053.0,29.49,931.0,74289.0,323400.0,19.0,3.76,A,0.935,0.0,52.3878437047757,1.98265179677819,,12.4379114000727,1.9
8891,391650312004,3428.0,7.81,1700.0,77428.0,165200.0,31.3,3.57,A,0.935,11.1478117258464,44.2564102564103,0.0,,24.0688123159581,1.9
8892,391650313001,4058.0,22.7,755.0,90223.0,231600.0,25.7,2.71,A,0.914,3.4850640113798,47.2473294987675,7.44288872512896,,8.24623433049222,3.9
8893,391650313002,1085.0,61.82,914.0,56875.0,126600.0,17.5,3.13,B,0.708,11.0032362459547,14.766081871345,2.54545454545455,,16.0140659340659,3.9
8894,391650314001,1838.0,46.53,838.0,39053.0,138600.0,36.1,3.55,B,0.731,5.28846153846154,9.375,6.5989847715736,,22.2159629221827,12.5
8895,391650314002,972.0,52.63,638.0,27240.0,89200.0,23.7,2.46,D,0.256,6.99300699300699,2.04841713221601,40.8521303258145,,27.4008810572687,12.5
8896,391650314003,1992.0,57.53,701.0,38387.0,128200.0,24.9,1.73,C,0.600,0.0,17.7152317880795,16.8597168597169,,18.7563498059239,12.5
8897,391650314004,369.0,45.97,682.0,,118300.0,28.2,4.44,D,0.297,12.8099173553719,21.1155378486056,28.436018957346,,,12.5
8898,391650315001,1670.0,56.1,753.0,50163.0,120700.0,21.4,3.13,C,0.572,0.0,16.0550458715596,12.8367670364501,,15.190479038335,5.0
8899,391650315002,1604.0,28.06,820.0,83262.0,197500.0,32.1,2.48,A,0.924,15.5523255813953,46.9408224674022,1.72117039586919,,8.66181451322332,5.0
8900,391650315003,1026.0,60.74,768.0,54622.0,95000.0,21.9,3.05,C,0.628,18.4557438794727,30.6916426512968,8.77598152424942,,14.565559664604,5.0
8901,391650315004,615.0,59.49,491.0,34500.0,117200.0,33.5,2.14,D,0.103,19.1740412979351,20.1298701298701,35.036496350365,,16.5565217391304,5.0
8902,391650316001,3843.0,2.74,,95647.0,183400.0,,1.89,A,0.967,1.06732348111658,37.5053214133674,1.32780082987552,,,4.8
8903,391650316002,2570.0,24.95,1158.0,86103.0,224800.0,31.6,2.72,A,0.944,11.0569105691057,28.343023255814,1.27970749542962,,10.8010173861538,4.8
8904,391650316003,630.0,100.0,1681.0,25417.0,,50.0,0.26,A,0.944,16.8803418803419,40.0,4.37017994858612,,77.5229177322265,4.8
8905,391650316004,968.0,15.99,611.0,56915.0,155200.0,13.6,3.57,C,0.637,22.4778761061947,21.1851851851852,4.56852791878173,,9.71975753316349,4.8
8906,391650317001,4580.0,100.0,,,,,0.0,B,0.898,0.0,1.69582772543742,0.0,,,
8907,391650319021,3174.0,21.83,1399.0,74417.0,189100.0,32.9,2.7,A,0.950,4.13625304136253,61.1340206185567,4.4839255499154,,14.4483115417176,3.7
8908,391650319022,2603.0,7.56,1856.0,90313.0,177000.0,27.3,0.0,A,0.951,4.74137931034483,66.4,2.11981566820276,,24.3552976869332,3.7
8909,391650319023,2921.0,3.87,,91056.0,239700.0,,2.99,A,0.980,0.0,54.7398843930636,2.73348519362187,,,3.7
8910,391650319024,1808.0,64.96,792.0,50679.0,160400.0,25.7,1.42,B,0.788,0.0,38.71975019516,9.01126408010012,,15.9119161782987,3.7
8911,391650319031,1561.0,27.08,,69700.0,239900.0,26.7,1.71,A,0.938,18.444165621079,40.7136322049405,5.23076923076923,,12.103299856528,1.3
8912,391650319032,1107.0,9.05,,70288.0,124900.0,,4.94,B,0.884,0.0,38.7323943661972,0.0,,,1.3
8913,391650319033,2127.0,0.0,,126447.0,294400.0,,0.0,A,0.988,0.0,76.9101595298069,0.0,,,1.3
8914,391650319034,4594.0,10.01,,129167.0,308100.0,,2.0,A,0.990,0.0,63.4128166915052,1.55786350148368,,,1.3
8915,391650319035,2678.0,11.83,,130313.0,346800.0,10.0,0.0,A,0.990,0.0,69.6507936507936,3.09988518943743,,,1.3
