GEOID,unemployment_rate
390070005001,8.9
390070005002,8.9
390070005003,8.9
390070005004,8.9
390070006011,8.5
390070006012,8.5
390070006013,8.5
390070006021,5.0
390070006022,5.0
390070006023,5.0
390070006024,5.0
390070006031,5.3
390070006032,5.3
390070006033,5.3
390070007011,23.9
390070007012,23.9
390070007013,23.9
390070007014,23.9
390070007021,8.0
390070007022,8.0
390070007023,8.0
390070007031,15.5
390070007032,15.5
390070007033,15.5
390070007034,15.5
390070007041,8.8
390070007042,8.8
390070007043,8.8
390070007044,8.8
390070008011,5.9
390070008012,5.9
390070008021,6.7
390070008022,6.7
390070008023,6.7
390070008024,6.7
390070008025,6.7
390070009001,3.8
390070009002,3.8
390070009003,3.8
390070009004,3.8
390070009005,3.8
390070010011,9.7
390070010012,9.7
390070010013,9.7
390070010014,9.7
390070010021,5.0
390070010022,5.0
390070010023,5.0
390070011011,7.7
390070011012,7.7
390070011021,5.6
390070011022,5.6
390070011023,5.6
390070011024,5.6
390070012001,6.4
390070012002,6.4
390070012003,6.4
390070012004,6.4
390070012005,6.4
390070012006,6.4
390070013011,5.2
390070013012,5.2
390070013013,5.2
390070013014,5.2
390070013021,4.5
390070013022,4.5
390070013023,4.5
390070014001,3.1
390070014002,3.1
390070014003,3.1
390070014004,3.1
390070014005,3.1
390079900000,
390099726001,6.7
390099726002,6.7
390099726003,6.7
390099726004,6.7
390099726005,6.7
390099727001,16.2
390099727002,16.2
390099727003,16.2
390099727004,16.2
390099728001,4.9
390099728002,4.9
390099728003,4.9
390099729001,4.8
390099729002,4.8
390099729003,4.8
390099729004,4.8
390099730001,5.3
390099730002,5.3
390099730003,5.3
390099730004,5.3
390099731011,12.6
390099731012,12.6
390099732001,8.4
390099732002,8.4
390099732003,8.4
390099732004,8.4
390099733001,2.1
390099733002,2.1
390099733003,2.1
390099734001,12.8
390099734002,12.8
390099734003,12.8
390099735001,5.2
390099735002,5.2
390099735003,5.2
390099736001,8.9
390099736002,8.9
390099736003,8.9
390099737001,5.2
390099737002,5.2
390099737003,5.2
390099738001,10.1
390099738002,10.1
390099738003,10.1
390099738004,10.1
390099739011,13.1
390099739012,13.1
390099739021,6.9
390110401001,4.2
390110401002,4.2
390110401003,4.2
390110401004,4.2
390110402001,4.8
390110402002,4.8
390110402003,4.8
390110402004,4.8
390110403001,5.0
390110403002,5.0
390110403003,5.0
390110404001,1.0
390110404002,1.0
390110404003,1.0
390110404004,1.0
390110404005,1.0
390110405001,2.7
390110405002,2.7
390110405003,2.7
390110405004,2.7
390110406001,4.7
390110406002,4.7
390110406003,4.7
390110406004,4.7
390110409001,1.5
390110409002,1.5
390110409003,1.5
390110410001,1.5
390110410002,1.5
390110410003,1.5
390110411001,5.1
390110411002,5.1
390110411003,5.1
390110411004,5.1
390110412011,5.6
390110412012,5.6
390110412021,3.4
390110412022,3.4
390110412023,3.4
390110412024,3.4
390110412025,3.4
390130101001,18.2
390130101002,18.2
390130101003,18.2
390130101004,18.2
390130101005,18.2
390130101006,18.2
390130102001,6.2
390130102002,6.2
390130102003,6.2
390130102004,6.2
390130103001,7.0
390130103002,7.0
390130106001,5.1
390130106002,5.1
390130106003,5.1
390130106004,5.1
390130107001,3.0
390130107002,3.0
390130108021,7.3
390130108022,7.3
390130109001,6.9
390130109002,6.9
390130109003,6.9
390130109004,6.9
390130109005,6.9
390130109006,6.9
390130110001,7.3
390130110002,7.3
390130110003,7.3
390130110004,7.3
390130110005,7.3
390130112001,4.3
390130112002,4.3
390130112003,4.3
390130113001,7.1
390130113002,7.1
390130113003,7.1
390130113004,7.1
390130113005,7.1
390130114001,6.4
390130114002,6.4
390130114003,6.4
390130114004,6.4
390130115001,12.0
390130115002,12.0
390130116001,14.3
390130116002,14.3
390130117001,10.3
390130117002,10.3
390130119001,2.8
390130119002,2.8
390130119003,2.8
390130119004,2.8
390130120001,15.2
390130120002,15.2
390130120003,15.2
390130121001,13.7
390130122001,2.7
390130122002,2.7
390130122003,2.7
390130122004,2.7
390130123001,7.1
390130123002,7.1
390130123003,7.1
390130124001,6.4
390130124002,6.4
390130124003,6.4
390130124004,6.4
390159512011,3.8
390159512012,3.8
390159512013,3.8
390159512021,6.8
390159512022,6.8
390159512023,6.8
390159512024,6.8
390159513001,5.6
390159513002,5.6
390159513003,5.6
390159513004,5.6
390159514001,10.3
390159514002,10.3
390159514003,10.3
390159515001,6.5
390159515002,6.5
390159515003,6.5
390159515004,6.5
390159516001,9.8
390159516002,9.8
390159516003,9.8
390159517001,9.7
390159517002,9.7
390159517003,9.7
390159518001,14.5
